Position,Character,IsLetter,IsDigit,IsWhiteSpace,ASCIIValue
0,!,False,False,False,33
1,m,True,False,False,109
2,u,True,False,False,117
3,l,True,False,False,108
4,(,False,False,False,40
5,4,False,True,False,52
6,1,False,True,False,49
7,7,False,True,False,55
8,",",False,False,False,44
9,5,False,True,False,53
10,2,False,True,False,50
11,8,False,True,False,56
12,),False,False,False,41
13,w,True,False,False,119
14,h,True,False,False,104
15,y,True,False,False,121
16,(,False,False,False,40
17,),False,False,False,41
18,;,False,False,False,59
19,w,True,False,False,119
20,h,True,False,False,104
21,a,True,False,False,97
22,t,True,False,False,116
23,(,False,False,False,40
24,),False,False,False,41
25,?,False,False,False,63
26,h,True,False,False,104
27,o,True,False,False,111
28,w,True,False,False,119
29,(,False,False,False,40
30,),False,False,False,41
31,f,True,False,False,102
32,r,True,False,False,114
33,o,True,False,False,111
34,m,True,False,False,109
35,(,False,False,False,40
36,),False,False,False,41
37,w,True,False,False,119
38,h,True,False,False,104
39,o,True,False,False,111
40,(,False,False,False,40
41,),False,False,False,41
42,w,True,False,False,119
43,h,True,False,False,104
44,e,True,False,False,101
45,r,True,False,False,114
46,e,True,False,False,101
47,(,False,False,False,40
48,),False,False,False,41
49, ,False,False,True,32
50,~,False,False,False,126
51,m,True,False,False,109
52,u,True,False,False,117
53,l,True,False,False,108
54,(,False,False,False,40
55,2,False,True,False,50
56,1,False,True,False,49
57,5,False,True,False,53
58,",",False,False,False,44
59,1,False,True,False,49
60,8,False,True,False,56
61,),False,False,False,41
62,{,False,False,False,123
63,},False,False,False,125
64, ,False,False,True,32
65,],False,False,False,93
66,),False,False,False,41
67,/,False,False,False,47
68,f,True,False,False,102
69,r,True,False,False,114
70,o,True,False,False,111
71,m,True,False,False,109
72,(,False,False,False,40
73,),False,False,False,41
74,*,False,False,False,42
75,d,True,False,False,100
76,o,True,False,False,111
77,(,False,False,False,40
78,),False,False,False,41
79,",",False,False,False,44
80,),False,False,False,41
81,*,False,False,False,42
82, ,False,False,True,32
83,#,False,False,False,35
84,#,False,False,False,35
85,s,True,False,False,115
86,e,True,False,False,101
87,l,True,False,False,108
88,e,True,False,False,101
89,c,True,False,False,99
90,t,True,False,False,116
91,(,False,False,False,40
92,),False,False,False,41
93,m,True,False,False,109
94,u,True,False,False,117
95,l,True,False,False,108
96,(,False,False,False,40
97,8,False,True,False,56
98,9,False,True,False,57
99,",",False,False,False,44
100,5,False,True,False,53
101,9,False,True,False,57
102,),False,False,False,41
103,:,False,False,False,58
104,*,False,False,False,42
105,s,True,False,False,115
106,e,True,False,False,101
107,l,True,False,False,108
108,e,True,False,False,101
109,c,True,False,False,99
110,t,True,False,False,116
111,(,False,False,False,40
112,8,False,True,False,56
113,0,False,True,False,48
114,5,False,True,False,53
115,",",False,False,False,44
116,6,False,True,False,54
117,0,False,True,False,48
118,0,False,True,False,48
119,),False,False,False,41
120,*,False,False,False,42
121,m,True,False,False,109
122,u,True,False,False,117
123,l,True,False,False,108
124,(,False,False,False,40
125,7,False,True,False,55
126,0,False,True,False,48
127,9,False,True,False,57
128,",",False,False,False,44
129,1,False,True,False,49
130,3,False,True,False,51
131,8,False,True,False,56
132,),False,False,False,41
133,-,False,False,False,45
134,!,False,False,False,33
135,h,True,False,False,104
136,o,True,False,False,111
137,w,True,False,False,119
138,(,False,False,False,40
139,),False,False,False,41
140,$,False,False,False,36
141,+,False,False,False,43
142,*,False,False,False,42
143,w,True,False,False,119
144,h,True,False,False,104
145,y,True,False,False,121
146,(,False,False,False,40
147,7,False,True,False,55
148,4,False,True,False,52
149,7,False,True,False,55
150,",",False,False,False,44
151,2,False,True,False,50
152,9,False,True,False,57
153,0,False,True,False,48
154,),False,False,False,41
155,>,False,False,False,62
156,m,True,False,False,109
157,u,True,False,False,117
158,l,True,False,False,108
159,(,False,False,False,40
160,5,False,True,False,53
161,4,False,True,False,52
162,8,False,True,False,56
163,",",False,False,False,44
164,8,False,True,False,56
165,2,False,True,False,50
166,6,False,True,False,54
167,),False,False,False,41
168,^,False,False,False,94
169,@,False,False,False,64
170,-,False,False,False,45
171,^,False,False,False,94
172,%,False,False,False,37
173,@,False,False,False,64
174,",",False,False,False,44
175,@,False,False,False,64
176,m,True,False,False,109
177,u,True,False,False,117
178,l,True,False,False,108
179,(,False,False,False,40
180,1,False,True,False,49
181,0,False,True,False,48
182,3,False,True,False,51
183,",",False,False,False,44
184,9,False,True,False,57
185,5,False,True,False,53
186,2,False,True,False,50
187,),False,False,False,41
188,^,False,False,False,94
189,w,True,False,False,119
190,h,True,False,False,104
191,y,True,False,False,121
192,(,False,False,False,40
193,),False,False,False,41
194,:,False,False,False,58
195,m,True,False,False,109
196,u,True,False,False,117
197,l,True,False,False,108
198,(,False,False,False,40
199,3,False,True,False,51
200,2,False,True,False,50
201,2,False,True,False,50
202,",",False,False,False,44
203,8,False,True,False,56
204,7,False,True,False,55
205,7,False,True,False,55
206,),False,False,False,41
207,s,True,False,False,115
208,e,True,False,False,101
209,l,True,False,False,108
210,e,True,False,False,101
211,c,True,False,False,99
212,t,True,False,False,116
213,(,False,False,False,40
214,),False,False,False,41
215,+,False,False,False,43
216,w,True,False,False,119
217,h,True,False,False,104
218,o,True,False,False,111
219,(,False,False,False,40
220,),False,False,False,41
221,%,False,False,False,37
222,?,False,False,False,63
223,[,False,False,False,91
224,m,True,False,False,109
225,u,True,False,False,117
226,l,True,False,False,108
227,(,False,False,False,40
228,3,False,True,False,51
229,7,False,True,False,55
230,8,False,True,False,56
231,",",False,False,False,44
232,5,False,True,False,53
233,9,False,True,False,57
234,8,False,True,False,56
235,),False,False,False,41
236,<,False,False,False,60
237,;,False,False,False,59
238,[,False,False,False,91
239,&,False,False,False,38
240,(,False,False,False,40
241,-,False,False,False,45
242,*,False,False,False,42
243,',False,False,False,39
244, ,False,False,True,32
245,m,True,False,False,109
246,u,True,False,False,117
